순서(섹터+메인+순서),섹터 id,스테이지 이름,스테이지 시나리오,스테이지 타입,스테이지 아이콘 번호(이름),퀘스트 번호,타겟 대표 이미지,채팅 에너지 소모량,난이도,선행 스테이지,소모 티켓,제한 기본 턴수,스테이지 속성,스테이지 속성 설명,클리어 조건,클리어 보상
1010001,101,3박자의 리듬,"글리치 슬럼의 끝자락. 네온사인 불빛이 빗속에서 번지는 밤, 은발의 여자가 당신에게 먼저 말을 겁니다. 그녀의 이름은 하린(河鄰). 데이터 중개상이자 슬럼의 유령 같은 존재입니다. 그녀는 낡은 후드 아래 결함 있는 AR 렌즈를 깜빡이며 조용히 말합니다. ""저 편의점 구석에 앉아 있는 애 보여? 탁, 탁, 탁. 저 소리가 들리면 오늘도 무사한 거야."" 하린이 가리키는 곳, 향아이 펜던트를 두드리며 도시의 노이즈를 온몸으로 삼키고 있습니다. 당신이 이 도시에서 맨 처음 해야 할 일은 하린의 눈치를 보며 향아에게 말을 거는 것. 그녀의 리듬에 당신의 심장박동을 맞추는 것이 첫 번째 과제입니다.",메인,ui 아이콘 이름,1010001,향아 이미지,2,1,0,1,10,스토리,핵심 서사 진행 / 클리어 시 다음 스테이지 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 100 / 경험치 50 / 스토리 파편
1010002,101,오염된 복음,"(M1 연결) 향아과 처음 신뢰를 쌓던 찰나, 황건 교단의 선동가 장보가 비를 가르며 편의점으로 밀어닥칩니다. 그는 향아의 펜던트를 '신의 성물'이라 부르며 군중을 끌어모읍니다. 하린은 재빠르게 자리를 뜨며 당신의 소매를 잡아끌고 속삭입니다. ""저 자식 논리가 세 보여도 빈틈 있어. 찔러봐."" 향아은 혼란 속에서도 펜던트를 꼭 쥔 채 당신을 올려다봅니다. 당신은 장보가 주입하는 오염된 데이터가 자아를 파괴하는 독임을 논리적으로 증명하고, 향아 곁을 지켜야 합니다. 사마의의 질서보다 더 무서운 것은 스스로를 잃는 오염임을 이 도시에 처음 새겨야 합니다.",메인,ui 아이콘 이름,1010002,장보 이미지,2,1,1010001,1,10,스토리,핵심 서사 진행 / 클리어 시 다음 스테이지 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 100 / 경험치 50 / 스토리 파편
1010003,101,슬럼의 구원자,"(M2 연결) 장보 뒤에 교단의 진짜 수장 장각이 있었습니다. 그는 향아이 감당해야 할 노이즈를 자신의 코어에 억지로 이식하며 버텨온 존재였습니다. 임계점을 넘긴 장각은 폭주하며 유저와 보안 시스템을 향해 마지막 데이터 폭풍을 쏟아냅니다. 하린은 출구 근처 어둠 속에서 당신에게 신호를 보내며 ""그가 숨긴 코드 끌어내야 돼. 분노를 더 키워""라고 외칩니다. 장각의 분노를 자극해 역설적으로 보안 데이터를 실토하게 만들어야 섹터를 탈출할 수 있습니다. 스스로 악역이 되어 쓰러지는 장각의 고독한 희생을 끝까지 목격하십시오. 슬럼의 출구 너머, 사마의의 실체로 향하는 첫 발걸음이 시작됩니다.",메인,ui 아이콘 이름,1010003,장각 이미지,2,1,1010002,1,10,스토리,핵심 서사 진행 / 클리어 시 다음 스테이지 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 100 / 경험치 50 / 스토리 파편
1010101,101,고물상 흥정,펜던트 수리 부품을 얻기 위해 슬럼 고물상 주인과 대화합니다.,서브,ui 아이콘 이름,1010101,고물상주인 이미지,1,1,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 50 / 경험치 25
1010102,101,화타의 마루타,괴짜 의사 화타가 유저의 뇌파를 테스트합니다. 공포를 참으세요.,서브,ui 아이콘 이름,1010102,화타 이미지,1,1,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 50 / 경험치 25
1010103,101,보안봇의 소원,파손된 보안봇의 마지막 기록을 들어주는 감성 퀘스트입니다.,서브,ui 아이콘 이름,1010103,사마의 이미지,1,1,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 50 / 경험치 25
1010104,101,슬럼의 정보통,밀수꾼에게 다음 구역 정보를 캐냅니다. 그를 많이 말하게 하세요.,서브,ui 아이콘 이름,1010104,하린 이미지,1,1,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 50 / 경험치 25
1010105,101,장량의 경계,장보의 동생 장량이 유저를 검문합니다. 정확한 암호가 필요합니다.,서브,ui 아이콘 이름,1010105,장량 이미지,1,1,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 50 / 경험치 25
1010106,101,데이터 세탁,오염된 기록을 정화하여 증거를 확보하는 미션입니다.,서브,ui 아이콘 이름,1010106,정욱 이미지,1,1,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 50 / 경험치 25
1010107,101,슬럼의 밀고,사마의의 통신망에 가짜 정보를 흘려 추적을 피하십시오.,서브,ui 아이콘 이름,1010107,하린 이미지,1,1,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 50 / 경험치 25
