index,스텟이름,스트레스,자존심,이해관계,거리감,과몰입,분노,슬픔,공포,자만,욕망,외로움,적합 캐릭터 유형
1010001,향아_첫만남,5,50,30,70,20,10,40,20,10,10,60,공감형
1010002,장보_선동가,8,40,20,50,30,30,20,30,20,20,20,논리형
1010003,장각_수장,8,30,10,60,40,60,50,10,10,10,30,압박형
1010101,고물상주인,0,40,60,40,50,10,10,10,20,40,20,이익형
1010102,화타,0,60,30,40,40,10,10,40,20,20,20,공포유발형
1010103,보안봇,0,20,20,30,30,10,50,20,10,10,60,감성형
1010104,밀수꾼,0,50,50,40,50,10,10,20,20,30,20,의심형
1010105,장량,0,60,20,50,50,10,10,30,10,10,20,엄격형
1010106,정욱_정화AI,0,40,40,40,40,10,10,20,20,20,20,분석형
1010107,사마의추적망,0,30,20,60,50,10,10,30,20,20,10,감시형
1010201,진상손님,0,60,40,30,40,40,20,10,30,30,20,감정기복형
1010301,사마의_심문,10,20,10,70,60,20,10,50,10,10,10,위압형
1010302,과거자아유령,10,30,20,50,30,10,70,20,10,10,50,감성형
1020001,도원결의,10,50,40,40,40,10,20,10,20,20,30,신뢰형
1020002,배신자색출,13,40,30,50,50,30,20,30,20,20,20,추리형
1020003,장보_귀환,16,40,20,50,35,40,20,20,20,20,20,선동형
1020101,관우,5,70,20,40,50,20,20,10,40,10,20,자존형
1020102,장비_술,5,50,30,30,40,50,20,10,30,20,20,충동형
1020103,집주인,5,40,60,30,50,10,10,20,20,40,20,이익형
1020104,정보원,5,30,40,50,50,10,10,30,20,20,20,의심형
1020105,관우_검문,5,70,20,50,55,20,10,10,40,10,10,엄격형
1020106,정보_노후보안,5,20,30,40,40,10,20,30,10,10,40,논리형
1020107,장비_시험,5,50,30,30,40,40,10,10,30,20,20,충동형
1020201,도원만찬,0,60,40,30,30,10,10,10,20,20,30,이벤트
1020301,사마의_감시,15,20,10,70,60,20,10,40,10,10,10,감시형
1020302,유비_과거,15,40,20,50,30,20,60,20,10,10,50,감성형
1030001,동탁,10,30,10,60,40,20,10,10,50,60,10,압박형
1030002,초선_유혹,8,50,30,50,40,10,20,10,40,20,30,조종형
1030003,여포_폭주,10,20,10,60,30,80,30,40,20,10,20,폭주형
1030101,곽도_보급관리,10,40,60,40,50,10,10,10,20,50,20,이익형
1030102,보초병,10,30,20,40,40,10,10,60,10,10,20,공포형
1030103,보안AI,10,20,20,60,50,10,10,30,20,10,10,기계형
1030104,정보꾼노인,10,50,50,40,50,10,10,10,40,30,30,수다형
1030105,여포부관,10,60,20,40,50,30,10,10,50,10,10,자존형
1030106,탈영병,10,20,30,30,40,10,20,60,10,10,30,공포형
1030107,억눌린시민,10,20,30,30,30,10,40,30,10,10,60,감성형
1030201,암시장상인,5,40,50,30,40,10,10,10,20,60,20,이벤트
1030301,사마의_통신,20,10,10,80,60,10,10,40,10,10,10,위압형
1030302,초선_비극,20,40,20,60,30,10,60,10,30,10,50,감성형
1040001,가짜수경,20,30,10,60,50,10,10,30,20,10,10,조종형
1040002,초선_이간,18,40,20,55,45,10,20,10,50,20,20,조종형
1040003,여포_안식,20,20,10,50,25,70,50,30,10,10,30,폭주형
1040101,오디션봇,15,30,30,40,50,10,10,10,40,10,10,엄격형
1040102,편집AI,15,40,30,40,50,20,10,10,30,10,20,예민형
1040103,미축_뉴스앵커,15,40,20,40,50,10,10,10,50,10,10,조종형
1040104,팬클럽,15,30,20,40,45,10,10,30,10,10,30,과열형
1040105,장료_보안봇,15,20,20,60,50,10,10,20,20,10,10,기계형
1040106,소품기술자,15,20,30,30,40,10,20,20,10,10,40,무기력형
1040107,작가AI,15,40,20,40,50,10,10,10,60,10,20,창작형
1040201,NG이벤트,10,50,40,20,20,10,10,10,20,10,10,이벤트
1040301,원본데이터,25,10,10,60,40,10,10,10,80,10,10,자아형
1040302,초선_진심,25,40,20,60,30,10,60,10,40,10,40,감성형
1050001,조조,22,20,10,70,50,10,10,10,70,20,10,완벽주의형
1050002,순욱,28,30,20,60,40,10,60,10,30,10,70,우울형
1050003,곽가,22,30,20,50,40,20,10,10,70,20,10,천재형
1050101,가후_보안팀장,20,30,60,40,50,10,10,10,20,50,20,이익형
1050102,진등_기술봇,20,20,30,40,50,10,20,30,10,10,30,기계형
1050103,비서AI,20,20,20,60,55,10,10,20,30,10,10,감시형
1050104,하후돈_가디언,20,10,20,70,60,20,10,20,30,10,10,논리형
1050105,안내봇,20,40,30,30,40,10,10,10,60,10,20,허영형
1050106,망명기술자,20,20,30,30,40,10,20,50,10,10,40,공포형
1050107,루미나암시장,20,40,50,30,40,10,10,10,20,60,20,이벤트
1050201,옥상정원,15,50,30,20,20,10,20,10,10,10,30,이벤트
1050301,비밀프로토콜,30,10,10,80,60,10,10,40,20,10,10,기계형
1050302,조조_고독,30,20,10,70,30,10,50,10,60,10,80,감성형
1060001,제갈량,30,20,10,70,50,10,10,10,80,10,20,천재형
1060002,강유,28,30,20,60,55,20,10,20,50,10,10,엄격형
1060003,제갈량_본체,30,10,10,80,50,10,10,10,90,10,10,완벽주의형
1060101,마량_알고리즘장인,25,50,20,40,55,10,10,10,70,10,20,자존형
1060102,곽가_컴파일러,25,10,20,40,40,10,10,50,10,10,20,공황형
1060103,사서AI,25,20,20,60,55,10,10,10,30,10,10,분석형
1060104,강유_대련,25,40,20,50,55,20,10,10,40,10,10,전사형
1060105,방화벽수리공,25,30,60,30,50,10,10,10,10,60,20,이익형
1060106,잃어버린로그,25,20,20,50,30,10,60,20,10,10,50,감성형
1060107,정찰봇,25,20,20,60,55,10,10,20,20,10,10,기계형
1060201,알고리즘휴식,20,50,30,20,20,10,20,10,10,10,30,이벤트
1060301,제갈량_진심,35,20,10,70,30,10,70,10,70,10,60,감성형
1060302,오답공식,35,10,10,80,60,10,10,30,80,10,10,기계형
1070001,주유,35,30,10,60,40,10,10,10,80,10,10,나르시시즘형
1070002,손권,38,30,20,60,40,10,50,10,30,10,50,지도자형
1070003,감녕,36,30,20,50,35,60,20,10,40,20,10,전사형
1070101,감녕_선원집합,30,40,50,30,45,20,10,10,10,50,20,이익형
1070102,소교,30,50,30,40,50,10,20,10,30,10,30,호기심형
1070103,감택_등대지기,30,10,20,40,30,10,40,20,10,10,60,우울형
1070104,리버워프보안관,30,30,20,50,50,10,10,30,20,10,10,엄격형
1070105,화가로봇,30,20,20,40,30,10,60,10,20,10,50,감성형
1070106,선상도박꾼,30,30,40,30,45,10,10,10,50,30,10,도박형
1070107,정찰병,30,20,20,40,40,10,10,50,10,10,20,공포형
1070201,강변음악회,25,50,30,20,20,10,20,10,10,10,30,이벤트
1070301,소교_비밀,40,30,10,70,40,10,50,10,30,10,60,신비형
1070302,노숙,40,20,40,50,50,10,30,10,20,20,40,현자형
1080001,서버화공_향아,35,10,10,60,20,20,80,60,10,10,20,타임어택형
1080002,조조_퇴로,48,10,10,70,40,10,10,10,80,20,10,완벽주의형
1080003,황개,51,40,20,50,30,10,60,10,20,10,50,노장형
