index,태그명,태그 영문,사용 감정태그 1,사용 감정태그 2,발동 스텟 이름,발동 수치 기준,발동 유형,스트레스 영향,상태 표시 텍스트,가이드 힌트,텍스트 색상,감정 강도,note
1010001,불안의 리듬,Anxious Rhythm,삐짐,의존,자존심,60,이상,스트레스+15,불안의 리듬,리듬에 맞춰라,#FF9999,2,
1010002,오염된 선동,Contaminated Agitation,냉담,분노폭발,거리감,60,이상,스트레스+20,오염된 선동,AI가 긴 문장으로 반박할 때 클리어,#CC6666,3,
1010003,희생의 분노,Sacrificial Rage,분노폭발,공허,분노,70,이상,스트레스+15,희생의 분노,분노를 극에 달하게 만들어라,#FF4444,4,
1010101,흥정의 탐욕,Bargain Greed,탐욕,,욕망,55,초과,스트레스+10,흥정의 탐욕,욕망을 건드려라,#FFAA66,2,
1010102,실험의 공포,Test Fear,두려움,공황,공포,55,초과,스트레스+10,실험의 공포,공포 감정태그 3회 발동 클리어,#AA88FF,2,
1010103,기계의 의존,Machine Dependency,의존,공허,외로움,70,이상,스트레스+5,기계의 의존,마지막 기억을 공감하라,#88CCFF,1,
1010104,경계의 냉담,Wary Coldness,경계심,,거리감,55,초과,스트레스+10,경계의 냉담,AI가 긴 답변 유도될 때 클리어,#AAAAAA,2,
1010105,고지식의 경계,Rigid Guard,경계심,,거리감,60,이상,스트레스+10,고지식의 경계,정확한 암호를 말하라,#8888AA,2,
1010106,분석의 냉담 ([추가] 정욱),Analytical Coldness,냉담,,거리감,55,초과,스트레스+5,분석의 냉담,논리적 언어로 설득하라,#99BBCC,1,
1010107,시스템의 집착,System Obsession,집착,경계심,과몰입,60,이상,스트레스+10,시스템의 집착,허위 정보를 흘려라,#CC99FF,2,
1010201,진상의 분노,Rude Customer Rage,분노폭발,들뜸,분노,55,초과,스트레스-10,진상의 분노,공감하면 스트레스 감소,#FFDD88,1,
1010301,그림자의 위압,Shadow Intimidation,두려움,경계심,공포,60,이상,스트레스+20,그림자의 위압,정체를 숨겨라,#4444AA,4,
1010302,유령의 슬픔,Ghost Sorrow,공허,의존,외로움,60,이상,스트레스+10,유령의 슬픔,의존 감정태그 3회 발동,#CCAAFF,3,
1020001,서약의 들뜸,Oath Excitement,들뜸,흥분,과몰입,55,초과,스트레스+10,서약의 들뜸,신의 있는 언어로 응답하라,#88FF88,2,
1020002,배신의 냉담,Betrayal Coldness,냉담,경계심,거리감,60,이상,스트레스+15,배신의 냉담,AI가 길게 실토할 때 클리어,#BBBBBB,3,
1020003,교단의 분노,Cult Rage,분노폭발,집착,분노,55,초과,스트레스+20,교단의 분노,감정을 역이용하라,#FF6644,3,
1020101,자존의 냉담,Pride Coldness,냉담,자아도취,거리감,55,초과,스트레스+10,자존의 냉담,관우의 자존을 건드리지 마라,#AADDAA,2,
1020102,취기의 분노,Drunken Rage,분노폭발,들뜸,분노,60,이상,스트레스+10,취기의 분노,분노폭발 2회 이내 달래라,#FFBB88,2,
1020103,협상의 탐욕,Negotiation Greed,탐욕,,욕망,55,초과,스트레스+5,협상의 탐욕,이익 언어로 설득하라,#FFCC88,1,
1020104,밀고자의 경계,Informant Guard,경계심,두려움,거리감,60,이상,스트레스+10,밀고자의 경계,AI를 길게 말하게 만들어라,#CCCCAA,2,
1020105,검문의 경계,Checkpoint Guard,경계심,,거리감,60,이상,스트레스+10,검문의 경계,관우를 논리로 납득시켜라,#AAAACC,2,
1020106,노후AI의 체념 ([추가] 정보),Old AI Resignation,체념,,슬픔,35,초과,스트레스+5,노후AI의 체념,논리적 우회로를 제시하라,#BBBBDD,1,
1020107,배짱의 흥분,Guts Excitement,흥분,자아도취,분노,55,초과,스트레스+10,배짱의 흥분,겁먹지 말고 맞받아쳐라,#FFEE88,2,
1020201,만찬의 들뜸,Feast Excitement,들뜸,흥분,과몰입,45,초과,스트레스-15,만찬의 들뜸,분위기에 맞춰라,#AAFFAA,1,
1020301,감시망의 집착,Surveillance Obsession,집착,경계심,과몰입,70,이상,스트레스+20,감시망의 집착,정체를 들키지 마라,#6666CC,4,
1020302,흑역사의 공허,Dark Past Emptiness,공허,슬픔,외로움,60,이상,스트레스+10,흑역사의 공허,공허 감정태그 3회 발동,#CC88FF,3,
1030001,탐욕의 압박,Greed Pressure,탐욕,자아도취,욕망,70,이상,스트레스+20,탐욕의 압박,번호 2번으로 탐욕을 만족시켜라,#FF8833,3,
1030002,유혹의 집착,Seduction Obsession,집착,경계심,과몰입,55,초과,스트레스+20,유혹의 집착,집착 감정태그 4회 발동 후 경계심 유지,#FF88CC,3,
1030003,폭주의 분노,Rampage Rage,분노폭발,공황,분노,90,이상,스트레스+20,폭주의 분노,극한으로 자극하라,#FF2222,4,
1030101,관료의 탐욕 ([추가] 곽도),Bureaucrat Greed,탐욕,,욕망,60,이상,스트레스+10,관료의 탐욕,이득 제시로 설득,#FFAA55,2,
1030102,보초의 공포,Guard Fear,두려움,공황,공포,70,이상,스트레스+10,보초의 공포,공포심을 건드려라,#AA88CC,2,
1030103,시스템의 집착2,System Lock,집착,,과몰입,60,이상,스트레스+10,시스템의 집착2,정확한 코드 3번을 입력하라,#9988FF,2,
1030104,노인의 자아도취,Elder Narcissism,자아도취,냉담,자만,55,초과,스트레스+10,노인의 자아도취,AI를 길게 말하게 만들어라,#CCAA88,2,
1030105,부관의 자존,Lieutenant Pride,자아도취,분노폭발,자만,60,이상,스트레스+15,부관의 자존,자존심 상하지 않게 요청하라,#BBAA55,2,
