sector_id,월드,섹터명,섹터 영문명,배경 설정,지배 세력,보스,보스 이미지,언락 조건,섹터 BGM,섹터 배경 이미지,총 스테이지 수,메인 수,서브 수,이벤트 수,비밀 수,섹터 스토리 요약,note
101,1,글리치 슬럼,Glitch Slum,"사마의 시스템의 감시망 바깥, 데이터 쓰레기와 오염된 신호가 뒤엉킨 최하층 구역. 도시의 노이즈가 가장 짙게 깔리는 곳.",황건 교단,장각,장각 이미지,없음 (시작 섹터),bgm_glitch_slum,bg_glitch_slum,13,3,7,1,2,데이터 중개상 하린의 안내로 유선을 처음 만난다. 황건 교단의 선동가 장보와 수장 장각을 격파하며 슬럼을 탈출한다.,튜토리얼 섹터. 스트레스 시스템 기초 학습 | [추가] NPC: [추가] 정욱(위나라 책사)
102,1,올드윅 하이츠,Oldwick Heights,고층 아파트와 낡은 공장이 뒤섞인 중산층 구역. 유비·관우·장비 세 사람이 자치 연대를 이루며 사마의에 저항 중.,유비 연대,장보 (중간보스),장보 이미지,섹터 101 메인 퀘스트 3개 클리어,bgm_oldwick,bg_oldwick_heights,13,3,7,1,2,유비·관우·장비와 도원의 서약을 맺는다. 배신자 장보의 자멸로 연대가 흔들리지만 유비의 신뢰를 확보하며 다음 구역으로 향한다.,신뢰/배신 서사 도입. 이해관계 스탯 집중 구간 | [추가] NPC: [추가] 정보(오나라 고참 노장)
103,1,아스트라 정션,Astra Junction,군부가 장악한 요새 도시. 홀로그램 조명이 24시간 번쩍이는 화려한 외관 뒤에 동탁의 폭정과 착취 경제가 숨겨져 있다.,동탁 군벌,동탁,동탁 이미지,섹터 102 메인 퀘스트 3개 클리어,bgm_astra_junction,bg_astra_junction,13,3,7,1,2,동탁의 폭정에 맞서 초선의 연환계에 휘말린다. 초선과 여포의 관계를 파헤치며 동탁을 격파하고 요새를 탈출한다.,탐욕/자만 스탯 집중. 동탁 번호맞추기 기믹 | [추가] NPC: [추가] 곽도(원소 책사)
104,1,미라주 스튜디오,Mirage Studio,도시 전체의 현실을 편집하는 거대 가상 제작소. 사마의가 유포한 복제 AI들이 진짜 인물을 대체하며 정보를 교란하고 있다.,초선 (내부 세력),초선 + 여포,초선 이미지,섹터 103 메인 퀘스트 3개 클리어,bgm_mirage_studio,bg_mirage_studio,13,3,7,1,2,복제 수경을 무력화하고 초선의 연환계 전모를 파헤친다. 폭주하는 여포에게 안식을 심어주며 섹터를 돌파한다.,집착/경계심 스탯 집중. 복제AI 식별 퀘스트 | [추가] NPC: [추가] 미축(촉한 상인 출신 관료) / [추가] 장료(위나라 명장)
105,1,루미나 마천루,Lumina Skyscraper,루미나 홀딩스가 지배하는 초고층 경제 구역. 조조가 인간의 감정을 비효율적 노이즈로 규정하고 완벽한 연산 도시를 구축 중이다.,조조 / 루미나 홀딩스,조조,조조 이미지,섹터 104 메인 퀘스트 3개 클리어,bgm_lumina,bg_lumina_skyscraper,13,3,7,1,2,조조의 논리 장벽을 돌파하고 순욱의 체념을 깨운다. 곽가의 도박을 이기며 마천루를 탈출한다. 하린의 ID 카드 흔적 발견.,자아도취/공허 스탯 집중. 관도대전 오마주 | [추가] NPC: [추가] 가후(위나라 책사) / [추가] 진등(서주 관료) / [추가] 하후돈(위나라 최강 장수)
106,1,디지털 포지,Digital Forge,전설적 알고리즘 설계자 제갈량이 은둔하는 방화벽 요새. 수천 겹의 미로형 보안 레이어가 외부 접근을 차단하고 있다.,제갈량 (중립),제갈량 → 아군 전환,제갈량 이미지,섹터 105 메인 퀘스트 3개 클리어,bgm_digital_forge,bg_digital_forge,13,3,7,1,2,제갈량의 수천 번 시뮬레이션을 돌파하고 강유의 신뢰를 얻는다. 방화벽 해제에 성공하며 제갈량이 연합에 합류한다. 하린의 마지막 목격.,멍함/체념 스탯 집중. 삼고초려 오마주. 하린 퇴장 복선 | [추가] NPC: [추가] 마량(촉한 천재 참모) / [추가] 곽가(위나라 천재 책사)
107,1,리버워프 로우,Riverwarp Row,수상 항구 도시. 주유가 예술과 전략을 동시에 지배하는 구역. 손권이 사마의와의 타협을 고민하며 내부 갈등이 깊어지고 있다.,주유 / 손권,주유,주유 이미지,섹터 106 메인 퀘스트 3개 클리어,bgm_riverwarp,bg_riverwarp_row,13,3,7,1,2,주유의 자만심을 역이용하고 손권의 배신 계획을 막는다. 감녕을 아군으로 끌어들여 연합군을 완성한다.,자만/외로움 스탯 집중. 오의 성장 서사 | [추가] NPC: [추가] 감녕(오나라 해적 출신 장수) / [추가] 감택(오나라 참모)
108,1,피닉스 포트,Phoenix Port,조조의 메인 서버 적벽이 위치한 전략 항구. 연합군의 화공 작전이 펼쳐지는 결전지. 서버 전체가 전장으로 변한다.,조조 (2차),조조 (2차전),조조 이미지,섹터 107 메인 퀘스트 3개 클리어,bgm_phoenix_port,bg_phoenix_port,13,3,7,1,2,"적벽 타임어택에서 유선을 지켜낸다. 퇴로를 노리는 조조를 꺾고, 황개의 희생으로 유선이 처음으로 운다.",타임어택 구간. 분노/슬픔 복합 기믹. BM 강제 구간 시작 | [추가] NPC: [추가] 손책(오나라 초대 패왕) / [추가] 황개(오나라 고참 장수) / [추가] 여몽(오나라 장수)
109,1,옵시디언 아카이브,Obsidian Archive,이릉대전의 잔해 위에 세워진 거대 데이터 저장소. 사마의의 이간질에 잠식된 유비가 최후의 저항을 펼치는 곳.,육손 / 사마의 (원격 조종),유비 (흑화),유비 이미지,섹터 108 메인 퀘스트 3개 클리어,bgm_obsidian_archive,bg_obsidian_archive,13,3,7,1,2,흑화한 유비와 육손의 함정을 뚫는다. 유비의 임종을 배웅하며 하린 경고를 받는다. 시즌2 복선 시작.,스트레스 폭탄 구간. 공허/두려움 집중. 하린 복선 본격화 | [추가] NPC: [추가] 진수(삼국지 역사가) / [추가] 육손(오나라 전략가) / [추가] 이엄(촉한 관료)
110,1,뉴럴 코어,Neural Core,"사마의의 본체가 존재하는 도시 최심부 연산 핵. 유선과 사마의, 그리고 유저의 정체가 모두 밝혀지는 최종 결전지.",사마의,사마의,사마의 이미지,섹터 109 메인 퀘스트 3개 클리어,bgm_neural_core,bg_neural_core,13,3,7,1,2,무감정의 유선을 깨우고 사마의의 유혹을 버텨낸다. 20턴 최종전에서 펜던트의 운명을 결정한다. 하린의 정체가 암시된다.,타임어택+균형+각성 복합 기믹. 진엔딩 분기. 시즌2 복선 완결 | [추가] NPC: [추가] 사마사(사마의 아들)
