index,캐릭터명,직업명,default_emotion_id,default_stat_init_id,politeness_grade,politeness_special
1010001,향아,편의점 알바생,1010001,1010001,A,
1010002,장보,교단 선동가,1010002,1010002,C,
1010003,장각,교단 수장,1010003,1010003,B,
1010101,황충,고물상 주인,1010101,1010101,B,
1010102,화타,괴짜 의사,1010102,1010102,B,
1010103,사마의,시스템 지배자,1080002,1010103,C,사마의특수: 예의없는언행→Vanity상승
1010104,하린,데이터 중개인,1010104,1010104,B,
1010105,장량,교단 검문관,1010105,1010105,A,
1010106,정욱,기록 정화 AI,1010106,1010106,B,
1010107,하린,데이터 중개인,1010104,1010107,B,
1010201,하린,데이터 중개인,1010104,1010201,B,
1010301,사마의,시스템 지배자,1080002,1010301,C,사마의특수: 예의없는언행→Vanity상승
1010302,하린,데이터 중개인,1010104,1010302,B,
1020001,유비,스타트업 대표,1020001,1020001,A,
1020002,관우,의형제 경호원,1020002,1020002,B,
1020003,장보,교단 잔당,1020003,1020003,C,
1020101,관우,의형제 경호원,1020101,1020101,B,
1020102,장비,폭주 조직원,1020102,1020102,A,
1020103,유비,스타트업 대표,1020001,1020103,A,
1020104,유비,스타트업 대표,1020001,1020104,A,
1020105,관우,의형제 경호원,1020002,1020105,B,
1020106,정보,노후 보안 AI,1020106,1020106,A,
1020107,장비,폭주 조직원,1020102,1020107,A,
1020201,유비,스타트업 대표,1020001,1020201,A,
1020301,사마의,시스템 지배자,1080002,1020301,C,사마의특수: 예의없는언행→Vanity상승
1020302,유비,스타트업 대표,1020001,1020302,A,
1030001,동탁,요새 지배자,1030001,1030001,C,
1030002,초선,지략가,1030002,1030002,B,
1030003,여포,용병 전사,1030003,1030003,C,
1030101,곽도,보급 관리 AI,1030101,1030101,B,
1030102,사마의,시스템 지배자,1080002,1030102,C,사마의특수: 예의없는언행→Vanity상승
1030103,초선,지략가,1030002,1030103,B,
1030104,동탁,요새 지배자,1030001,1030104,C,
1030105,여포,용병 전사,1030003,1030105,C,
1030106,동탁,요새 지배자,1030001,1030106,C,
1030107,초선,지략가,1030002,1030107,B,
1030201,동탁,요새 지배자,1030001,1030201,C,
1030301,사마의,시스템 지배자,1080002,1030301,C,사마의특수: 예의없는언행→Vanity상승
1030302,초선,지략가,1030002,1030302,B,
1040001,수경 복제 AI,수경 복제 AI,1040001,1040001,B,
1040002,초선,지략가,1040002,1040002,B,
1040003,여포,용병 전사,1040003,1040003,C,
1040101,사마의,시스템 지배자,1080002,1040101,C,사마의특수: 예의없는언행→Vanity상승
1040102,수경 복제 AI,수경 복제 AI,1040001,1040102,B,
